DATE,TICKER,PURCHASE_PRICE,SHARES_PURCHASED
2023-01-04,AMZN,85.04,0.235183
2023-01-09,AAPL,130.08,0.153775
2023-01-17,BROS,34.68,0.576701
2023-01-23,UBER,30.88,0.647773
2023-01-30,HOOD,10.24,1.953252
2023-02-06,TTD,52.41,0.381606
2023-02-15,ABNB,135.53,0.14759
2023-02-21,DOCU,59.19,0.337894
2023-02-27,ZG,41.4,0.484782
2023-03-06,NVDA,236.8,0.084461
2023-03-13,XYZ,68.6,0.291566
2023-03-23,MELI,1229.65,0.016264
2023-03-28,AAPL,156.82,0.127538
2023-04-03,DOCU,57.42,0.348341
2023-04-10,BROS,32.42,0.616808
2023-04-17,AAPL,164.96,0.121237
2023-04-24,NFLX,331.84,0.06027
2023-05-01,AXP,159.96,0.125035
2023-05-09,MSFT,307.78,0.064981
2023-05-17,BROS,26.99,0.741385
2023-05-23,IONQ,11.46,1.754034
2023-05-30,NVDA,401.7,0.050285
2023-06-05,TSM,98.72,0.202593
2023-06-07,AMZN,121.28,0.1649
2023-06-13,VEEV,191.32,0.106648
2023-06-20,ABNB,125.01,0.161587
2023-06-26,TSM,101.95,0.198136
2023-07-03,AMZN,130.31,0.155398
2023-07-06,MELI,1163.51,0.017361
2023-07-11,TSM,100.38,0.201225
2023-07-17,SHOP,68.69,0.295093
2023-07-20,RBLX,40.88,0.494189
2023-07-24,MNST,58.02,0.348125
2023-07-27,ENPH,169.41,0.119237
2023-08-01,MSFT,337.72,0.059813
2023-08-02,TSM,95.64,0.211197
2023-08-08,SNOW,154.56,0.130697
2023-08-14,UBER,44.06,0.453977
2023-08-23,MA,399.84,0.05102
2023-08-29,MNST,57.93,0.349011
2023-09-05,ENPH,129.44,0.157453
2023-09-11,V,246.59,0.081917
2023-09-18,TTD,81.62,0.247978
2023-09-20,SNOW,158.38,0.137454
2023-09-21,SNOW,149.36,0.124728
2023-09-25,MA,402.08,0.050313
2023-10-02,TTD,78.22,0.26849
2023-10-09,MA,391.94,0.053579
2023-10-16,CRWD,188.01,0.109036
2023-10-24,CRWD,182.09,0.110934
2023-10-26,TTD,66.69,0.302893
2023-11-01,MELI,1237.28,0.016972
2023-11-06,DASH,88.68,0.281896
2023-11-13,ABNB,117.98,0.211909
2023-11-17,MSFT,371.14,0.067359
2023-11-20,DASH,95.15,0.262743
2023-11-27,TSLA,235.61,0.106107
2023-12-04,RBLX,40.52,0.616979
2024-01-08,MSFT,370.32,0.337545
2024-02-12,MSFT,417.40,2.824664
2025-12-15,QBTS,24.30,1.060082
2023-06-21,ASML,708.66,0.059
2023-08-02,ASML,686.93,0.029
2023-09-07,ASML,637.24,0.031
2023-12-11,TSLA,238.75,0.418
2023-12-18,RBLX,44.13,3.398
2023-12-26,AMZN,153.25,0.815
2024-01-02,SHOP,73.51,2.72
2024-01-02,DASH,95.68,1.306
2024-01-02,ASML,716.7,0.075
2024-01-16,MELI,1674.75,0.074
2024-01-22,ABNB,142.81,0.875
2024-01-29,TTD,70.52,1.868
2024-01-30,MELI,1749.82,0.571
2024-02-05,ABNB,144.55,7.123
2024-02-13,SHOP,81.68,12.238
2024-02-20,TTD,81.77,9.315
2024-02-21,CRWD,291.45,3.434
2024-02-26,TSM,129.04,7.75
2024-03-04,NVDA,851.56,1.175
2024-03-11,ASML,967.40,1.034
2024-03-18,RBLX,36.18,27.639
2024-03-18,MA,478.35,2.091
2024-03-25,AMZN,180.47,5.549
2024-04-01,UBER,76.37,13.152
2024-04-08,DASH,136.68,7.316
2024-04-15,V,277.14,3.608
2024-04-22,TSLA,142.46,7.02
2024-04-29,AAPL,174.49,5.731
2024-05-06,CELH,78.21,12.837
2024-05-13,MNST,55.20,18.116
2024-05-20,MNST,54.08,18.492
2024-05-28,SMCI,894.58,1.117
2024-06-03,NFLX,637.33,1.576
2024-06-10,AVGO,1428.9,0.7
2024-06-17,SHOP,65.00,15.387
2024-06-24,MELI,1606.51,0.622
2024-07-01,V,261.49,3.84
2024-07-08,LRCX,1092.82,0.915
2024-07-15,AAPL,235.69,4.243
2024-07-17,ASML,955.94,1.046
2024-07-22,AMZN,183.92,5.437
2024-07-30,TSM,154.91,6.456
2024-08-05,ELF,172.27,5.826
2024-08-12,KNSL,468.18,2.136
2024-08-19,KNSL,484.07,2.065
2024-08-26,CRWD,269.12,3.717
2024-09-10,U,16.65,60.288
2024-09-16,CMG,57.44,17.409
2024-09-23,WING,424.16,2.357
2024-09-30,U,22.73,44.008
2024-10-07,ENPH,105.67,9.496
2024-10-14,NVDA,138.37,7.227
2024-10-21,DASH,151.46,6.602
2024-10-28,KNSL,440.67,2.269
2024-11-04,TSLA,246.11,4.081
2024-11-11,EME,521.74,1.924
2024-11-18,WING,325.49,3.845
2024-11-26,TOST,43.49,2.299
2024-11-26,EME,518.54,1.929
2024-12-02,BROS,54.77,1.825
2024-12-02,ABNB,135.90,7.419
2024-12-09,MELI,1933.5,0.517
2024-12-10,RDDT,161.01,0.621
2024-12-16,IONQ,36.70,2.782
2024-12-16,V,316.87,3.16
2024-12-23,HOOD,37.60,2.66
2024-12-23,CRWD,360.17,2.776
2024-12-27,HIMS,27.01,3.701
2024-12-30,DASH,169.84,5.89
2025-01-06,KD,39.04,25.796
2025-01-06,AXP,303.54,0.329
2025-01-14,ASML,728.87,1.381
2025-01-16,RELY,23.18,4.333
2025-01-22,DOCU,91.47,1.093
2025-01-22,HWM,126.56,7.904
2025-01-27,KD,37.77,26.473
2025-01-28,BROS,59.85,1.671
2025-02-03,HWM,126.62,7.927
2025-02-06,IONQ,41.34,2.42
2025-02-10,HWM,126.84,7.896
2025-02-11,BROS,65.20,1.533
2025-02-18,UBER,80.95,1.235
2025-02-18,WING,308.97,3.244
2025-02-28,SPOT,592.88,1.694
2025-02-28,ABNB,139.27,0.72
2025-03-06,GEHC,84.96,11.883
2025-03-07,TOST,32.83,3.046
2025-03-11,APP,245.0,0.408
2025-03-11,KD,33.98,29.434
2025-03-17,DOCU,84.93,1.177
2025-03-17,MSFT,390.11,2.566
2025-03-24,RDDT,124.04,0.803
2025-03-24,AMZN,202.71,4.933
2025-03-31,ASML,656.07,1.534
2025-04-07,RGTI,8.36,11.96
2025-04-07,TTD,46.99,21.351
2025-04-14,TTD,49.95,20.215
2025-04-21,CEF,30.01,4.762
2025-04-21,KD,28.45,35.152
2025-04-28,APP,278.81,3.586
2025-05-06,NVDA,112.79,8.899
2025-05-12,APP,353.62,2.857
2025-05-19,CPNG,27.16,36.925
2025-05-27,GRAB,5.00,200.2
2025-06-02,MA,578.39,1.744
2025-06-04,TTAN,113.86,0.88
2025-06-09,GRAB,5.00,200.816
2025-06-17,TMC,5.53,18.08
2025-06-17,CPNG,28.40,35.25
2025-06-24,CPNG,29.10,34.366
2025-06-30,META,741.02,1.355
2025-07-01,HOOD,93.57,1.068
2025-07-02,HOOD,99.47,1.008
2025-07-08,VEEV,280.99,3.569
2025-07-14,CEF,30.95,3.233
2025-07-14,VEEV,281.64,3.59
2025-07-21,VEEV,285.13,3.507
2025-07-28,VEEV,293.52,3.407
2025-08-05,ASML,692.76,1.448
2025-08-11,PGR,244.54,4.135
2025-08-19,PGR,248.34,4.037
2025-08-25,PGR,245.89,4.067
2025-09-02,EME,613.62,1.642
2025-09-08,STRL,287.18,3.493
2025-09-15,EME,626.53,1.598
2025-09-22,TTAN,111.79,8.947
2025-09-29,TSM,278.05,3.596
2025-10-13,RKLB,68.96,14.635
2025-10-20,BROS,56.36,17.742
2025-10-27,RKLB,65.93,15.204
2025-11-03,RKLB,61.91,16.233
2025-11-10,MELI,2069.26,0.489
2025-11-17,BROS,52.46,19.135
2025-11-25,TOST,33.55,29.806
2025-12-09,FIX,992.67,1.016
2025-12-15,FIX,977.50,1.027
2025-12-22,STN,94.82,10.556
2025-12-29,STN,95.96,10.424
2026-01-05,STN,98.31,10.238
2026-01-12,TTAN,106.67,9.502
2026-01-20,BROS,62.52,15.996
2026-01-26,FIX,1126.01,0.888
2026-02-02,WING,268.08,3.751
2026-02-09,INTC,51.08,19.646
2026-02-17,RACE,375.28,2.671
2026-02-23,DDOG,107.95,9.362
